CEARES,PORTUGUES
SÓ O PITEL,bom;Ótimo;Maravilhoso
SÓ OS QUEIXOS,desdentado;estragada
SOPA NO MEL,ideal;encontro
SOPAPO,Soco;tapa;tabefe
SUSTANÇA,Energia;alimentos
TABACO,Fumo;pó;rolo;órgão;sexual;feminino
TABARÉU,Caipira;abestado;beradeiro
TABEFE,Tapa;violento
TABOCADA,Erro;irrecuperável
TAMBURETE-DE-FORRÓ,baixinho;batoré;tampinha
TAPIOCA,bolinho;goma;mandioca;marinheiros
TEJE PRESO,prisão;sertanejo
TEM É ZÉ!,trabalhosa;demorada;difícil
TIBUNGO,som;cair;água
TINHOSO,teimosa;implicante;valente;demônio
TIRAR ÁGUA DO JOELHO,Urinar;mijar
TIRIRICA,raiva
TODO(A) ERRADO(A),envergonhada;sem saber
TORADO,Louco;viciado;verminoso;Cortado;quebrado
TRAÇAR,driblar
TRISCAR,Tocar
TROLETADA,Trombada;pancada;chibatada
TRONCHO,Torto;desengonçado
TRUBISCADO,bêbado;embriagado
TU LA CHUPA NADA!,nada
UM OLHO NO PEIXE E O OUTRO NO GATO,atento;situação
UMA PINÓIA,ova
URUBUSERVAR,Olhar;atentamente
URUBUZAR,Agourar;desejar;má sorte
VÁ CACHIMBAR MOLAMBO,perturbar
VÁ ENCHER O SACO DO CÃO COM REZA,apoquentar
VÁ NUM PÉ E VOLTE NOUTRO,rapidamente
VÁ PRA PONTE QUE CAIU,eufemismo;puta que pariu
VÁ SE LASCAR,danar;mal
VACILAR,erro;Enganar-se
VARA DE ESPANAR A LUA,alta;Varapau
VARAPAU,alta
VEÍNHA,mãe;xingamentos
VERMINOSO,Viciado;torado
VEXADO,Apressado;azafamado;Envergonhado
VIADO,Baitola;peroba
VISAGE,Fantasma;aparição
VITALINA,solteira;idade
VIXE!,Virgem Maria
VOZ DE TABOCA RACHADA,voz;timbre;desagradável
XABOQUE,Pedaço;violência
XAMBREGADO,embriagado;cheio dos paus
XAMEGO,Namoro;agarrado
XERÉM,Fubá;milho;pilado
XERETA,observando;vida alheia
XEXEIRO,Caloteiro
XODÓ,paixão;doce
ZAMBETA,Cambota
ZÉBEDEU,pejorativo;menosprezar
ZERADO,nova;sem uso
ZERO-CABAÇO,Virgem;donzela
ZOADA (ZUADA),Barulho
ZÓI,Olho
ZÓLHO,olhos
ZÓVO,ovos
ZUADENTO,Barulhento
ZUNHA,unhas
ZURÊIA,orelhas
ZURUÓ,Abestalhado;abobado
ZUVIDO,ouvidos
